Area;Perimeter;MajorAxisLength;MinorAxisLength;AspectRation;Eccentricity;ConvexArea;EquivDiameter;Extent;Solidity;roundness;Compactness;ShapeFactor1;ShapeFactor2;ShapeFactor3;ShapeFactor4;Class
28395;6.10E+15;2.08E+16;1.74E+16;1.20E+16;5.50E+15;28715;1.90E+15;7.64E+15;9.89E+15;9.58E+15;;7.33E+15;3.15E+14;8.34E+15;9.99E+15;SEKER
28734;6.38E+15;2.01E+16;1.83E+16;1.10E+16;4.12E+16;29172;1.91E+15;7.84E+15;9.85E+15;8.87E+15;9.54E+15;6.98E+16;3.56E+15;9.10E+15;9.98E+15;SEKER
29380;62411;2.13E+16;1.76E+16;1.21E+15;5.63E+15;29690;1.93E+16;7.78E+15;9.90E+15;9.48E+15;;7.24E+15;3.05E+15;8.26E+15;9.99E+15;SEKER
30008;6.46E+15;2.11E+15;1.83E+16;1.15E+15;4.99E+16;30724;1.95E+14;7.83E+15;9.77E+15;9.04E+15;9.28E+15;7.02E+16;3.21E+15;8.62E+15;9.94E+13;SEKER
30140;6.20E+15;2.02E+16;1.90E+16;1.06E+16;3.34E+14;30417;1.96E+16;7.73E+15;9.91E+15;9.85E+15;;6.70E+15;3.66E+16;9.42E+15;9.99E+15;SEKER
30279;634927;2.13E+15;1.82E+15;1.17E+16;5.20E+15;30600;1.96E+16;7.76E+14;9.90E+15;9.44E+15;;7.02E+15;3.15E+16;8.53E+15;9.99E+15;SEKER
30477;670033;2.11E+16;1.84E+16;1.15E+15;4.89E+14;30970;1.97E+16;7.62E+15;9.84E+15;8.53E+15;9.33E+15;6.92E+15;3.24E+15;8.71E+15;9.99E+15;SEKER
30519;6.30E+15;2.13E+15;1.83E+16;1.17E+14;5.14E+15;30847;1.97E+16;7.71E+15;9.89E+15;9.67E+15;9.25E+15;6.98E+15;3.16E+15;8.57E+15;9.98E+14;SEKER
30685;6.36E+15;2.14E+16;1.83E+16;1.17E+16;5.14E+15;31044;;7.72E+15;9.88E+15;;;6.96E+15;3.15E+16;8.57E+15;9.99E+15;SEKER
30834;631934;2.17E+16;1.81E+16;1.20E+16;5.54E+15;31120;1.98E+16;7.84E+15;9.91E+15;9.70E+15;9.12E+15;7.05E+15;3.01E+16;8.32E+15;9.99E+15;SEKER
30917;640765;2.14E+16;1.84E+16;1.16E+16;5.04E+15;31280;1.98E+16;7.71E+15;9.88E+15;9.46E+15;9.29E+15;6.91E+15;3.17E+16;8.63E+15;9.99E+15;SEKER
31091;638558;2.10E+15;1.88E+16;1.12E+16;4.47E+15;31458;1.99E+16;7.86E+15;9.88E+15;9.58E+15;;6.77E+14;3.33E+15;8.94E+15;9.99E+15;SEKER
31107;640594;2.15E+16;1.85E+16;1.16E+16;5.07E+15;31423;1.99E+16;7.61E+15;9.90E+14;9.53E+15;9.27E+15;6.90E+15;3.15E+15;8.60E+15;9.98E+15;SEKER
31158;642626;2.16E+16;1.84E+16;1.18E+16;5.30E+15;31492;1.99E+16;7.99E+15;9.89E+15;9.48E+15;9.20E+15;6.95E+16;3.07E+16;8.46E+15;9.98E+15;SEKER
31158;641105;2.12E+16;1.87E+15;1.13E+16;4.70E+14;31474;1.99E+16;7.81E+15;9.90E+15;9.53E+15;9.39E+14;6.81E+15;3.27E+16;8.82E+15;9.99E+15;SEKER
31178;6.37E+15;2.13E+16;1.87E+16;1.14E+16;4.82E+15;31520;1.99E+16;7.64E+15;9.89E+15;9.66E+15;;6.83E+15;3.23E+15;8.75E+15;9.99E+15;SEKER
31202;6.44E+15;2.16E+16;1.84E+16;1.17E+16;5.18E+15;31573;1.99E+15;7.79E+15;9.88E+15;9.44E+15;9.24E+14;6.91E+14;3.11E+16;8.54E+15;9.99E+14;SEKER
31203;6.40E+15;2.15E+16;1.85E+16;1.16E+16;5.11E+15;31558;1.99E+15;7.63E+15;9.89E+15;9.58E+15;9.27E+14;6.89E+15;3.14E+16;8.59E+15;9.99E+15;SEKER
31272;6.39E+15;2.12E+16;1.88E+16;1.13E+16;4.70E+16;31593;2.00E+16;7.70E+15;9.90E+15;9.63E+15;9.39E+15;6.79E+16;3.26E+16;8.82E+15;9.99E+15;SEKER
31335;635011;2.17E+16;1.84E+16;1.18E+16;5.28E+15;31599;2.00E+16;7.74E+15;9.92E+15;9.77E+14;9.21E+15;6.92E+15;3.08E+16;8.49E+15;9.99E+15;SEKER
31374;636401;2.20E+16;1.82E+16;1.21E+16;5.61E+15;31604;2.00E+16;7.69E+15;9.93E+15;9.73E+14;9.09E+15;7.01E+15;2.95E+16;8.26E+15;9.98E+15;SEKER
31530;638857;2.14E+15;1.88E+16;1.14E+16;4.76E+15;31791;2.00E+16;7.69E+15;9.92E+15;9.71E+15;;6.78E+15;3.23E+16;8.78E+15;9.98E+15;SEKER
31573;674103;2.17E+16;1.85E+16;1.17E+16;5.21E+15;32197;2.00E+16;7.57E+15;9.81E+15;8.73E+15;9.23E+15;6.88E+14;3.08E+15;8.51E+15;9.98E+15;SEKER
31637;656711;2.30E+16;1.76E+16;1.31E+16;6.45E+15;32045;2.01E+15;7.62E+15;9.87E+15;9.22E+15;;7.26E+15;2.61E+15;7.63E+15;9.99E+15;SEKER
31675;657431;2.37E+16;1.71E+15;1.38E+15;6.91E+15;32009;2.01E+16;7.41E+15;9.90E+15;9.21E+15;;7.47E+15;2.39E+16;7.20E+15;9.95E+15;SEKER
31682;6.47E+15;2.10E+15;1.92E+15;1.09E+15;4.03E+16;32026;2.01E+16;7.73E+14;9.89E+15;9.52E+15;9.56E+14;6.63E+15;3.42E+15;9.14E+15;9.99E+15;SEKER
31703;6.56E+15;2.16E+14;1.87E+16;1.15E+16;4.96E+16;32093;2.01E+16;7.77E+15;9.88E+14;9.25E+15;9.31E+15;6.80E+15;3.16E+16;8.68E+15;9.99E+15;SEKER
31748;641826;2.20E+16;1.84E+15;1.19E+16;5.46E+15;32020;2.01E+15;7.76E+15;9.92E+15;9.68E+15;;6.92E+16;2.99E+16;8.37E+15;9.99E+15;SEKER
31768;6.51E+15;2.21E+16;1.83E+16;1.21E+16;5.58E+14;32173;2.01E+16;7.78E+15;9.87E+15;9.42E+14;;6.96E+15;2.94E+15;8.28E+14;9.99E+13;SEKER
